method,seed,online_ms_per_1000,macro_ms_per_1000,combined_ms_per_1000_reported,combined_ms_per_1000_recomputed,absolute_recompute_error
Proposed,7,89.33974311104167,27.5374143332859,116.87715744432758,116.87715744432757,1.4210854715202004e-14
Proposed,13,87.33480799997375,23.90102122212233,111.23582922209607,111.23582922209607,0.0
Proposed,19,87.96428788900812,12.10423344461257,100.0685213336207,100.0685213336207,0.0
Proposed,23,85.67146011126978,31.64303044438081,117.31449055565058,117.3144905556506,1.4210854715202004e-14
Proposed,31,84.66709255541598,12.84887633311074,97.5159688885267,97.51596888852671,1.4210854715202004e-14
Proposed,37,83.31561266661285,22.480170110914816,105.79578277752768,105.79578277752766,1.4210854715202004e-14
Proposed,41,84.96800811109198,19.967046110953863,104.93505422204584,104.93505422204584,0.0
Proposed,43,86.7684187776629,24.14728555544975,110.91570433311266,110.91570433311264,1.4210854715202004e-14
Proposed,47,90.97171066666003,24.48187566672762,115.45358633338765,115.45358633338765,0.0
Proposed,53,86.83356155547195,14.171454444496906,101.00501599996883,101.00501599996885,1.4210854715202004e-14
Fixed Rank,7,73.93096944461932,22.905033999854318,96.83600344447365,96.83600344447365,0.0
Fixed Rank,13,80.7823862221792,29.345779111079334,110.12816533325855,110.12816533325854,1.4210854715202004e-14
Fixed Rank,19,82.48146655538828,28.660036666830518,111.14150322221879,111.1415032222188,1.4210854715202004e-14
Fixed Rank,23,86.16719411101155,23.89908644424092,110.06628055525248,110.06628055525248,0.0
Fixed Rank,31,91.77953611106204,32.550078888966205,124.32961500002824,124.32961500002824,0.0
Fixed Rank,37,94.50541733308961,28.2064442225318,122.7118615556214,122.71186155562141,1.4210854715202004e-14
Fixed Rank,41,95.06267788876559,14.771757222357943,109.83443511112354,109.83443511112354,0.0
Fixed Rank,43,95.51697077778145,26.50844277761482,122.02541355539628,122.02541355539627,1.4210854715202004e-14
Fixed Rank,47,87.92772799996682,21.8771246666923,109.80485266665913,109.80485266665912,1.4210854715202004e-14
Fixed Rank,53,98.49459822220928,26.463960777821033,124.95855900003032,124.9585590000303,1.4210854715202004e-14
