Dataset,Method,ARI,NMI,Execution_stage,Protocol_relation
CoverType,Proposed,0.680000,0.610000,Original experiment,Descriptive context only; repeated inference uses controlled comparison
CoverType,TWStream,0.132825,0.249941,Modern-method extension,Descriptive context only; repeated inference uses controlled comparison
CoverType,FRA-ART,0.136032,0.207666,Modern-method extension,Descriptive context only; repeated inference uses controlled comparison
Electricity,Proposed,0.720000,0.660000,Original experiment,Descriptive context only; repeated inference uses controlled comparison
Electricity,TWStream,0.021445,0.025872,Modern-method extension,Descriptive context only; repeated inference uses controlled comparison
Electricity,FRA-ART,0.006123,0.007396,Modern-method extension,Descriptive context only; repeated inference uses controlled comparison
TweetEval,Proposed,-0.000542,0.001657,Matched dataset-level verification,Descriptive context only; repeated inference uses controlled comparison
TweetEval,TWStream,0.000046,0.004062,Modern-method extension,Descriptive context only; repeated inference uses controlled comparison
TweetEval,FRA-ART,0.005115,0.005841,Modern-method extension,Descriptive context only; repeated inference uses controlled comparison
Synthetic GMM,Proposed,0.765705,0.779494,Matched dataset-level verification,Descriptive context only; repeated inference uses controlled comparison
Synthetic GMM,TWStream,0.941983,0.947800,Modern-method extension,Descriptive context only; repeated inference uses controlled comparison
Synthetic GMM,FRA-ART,0.625219,0.709763,Modern-method extension,Descriptive context only; repeated inference uses controlled comparison
