seed,drift_point,adaptation_delay_points,pre_ari,pre_nmi,recovery_target_ari,recovery_time_points
7,3000,286.0,0.9036770386922647,0.889064450021874,0.8584931867576514,1000.0
7,6000,223.0,0.9871468105605173,0.9789540242854265,0.9377894700324915,1000.0
13,3000,331.0,0.997338283557387,0.9952953181202042,0.9474713693795176,1000.0
13,6000,71.0,0.9867036747692031,0.9774604846630013,0.9373684910307428,nan
19,3000,322.0,0.997354339242336,0.9952997888594788,0.9474866222802191,1000.0
19,6000,195.0,0.9973154289148796,0.9952849004521902,0.9474496574691356,nan
23,3000,204.0,1.0,1.0,0.95,1000.0
23,6000,83.0,0.9813658293611447,0.9690378975065987,0.9322975378930874,nan
31,3000,243.0,0.9817417307090428,0.9691656410474382,0.9326546441735907,2000.0
31,6000,158.0,0.9487960957118713,0.9332257282363267,0.9013562909262777,2000.0
37,3000,223.0,0.9843199163652866,0.9758348961919439,0.9351039205470222,4000.0
37,6000,104.0,0.46218932696859216,0.4975867113130311,0.4390798606201625,1000.0
41,3000,337.0,1.0,1.0,0.95,1000.0
41,6000,136.0,0.962820652737688,0.9442499149775783,0.9146796201008036,nan
43,3000,231.0,0.9921427896035967,0.9859213255804395,0.9425356501234168,1000.0
43,6000,88.0,0.9863847903511368,0.977372556011366,0.9370655508335799,1000.0
47,3000,275.0,1.0,1.0,0.95,2000.0
47,6000,75.0,0.9420392832084191,0.9180214577846392,0.8949373190479981,3000.0
53,3000,155.0,0.9816427698406691,0.974858910953532,0.9325606313486356,5000.0
53,6000,214.0,0.47663158024996527,0.5191667033735429,0.452800001237467,1000.0
