seed,start,end,ari,nmi
7,1000,2000,0.917383245625201,0.8943575593567542
7,2000,3000,0.9036770386922647,0.889064450021874
7,3000,4000,0.9684805829442079,0.9516452959436034
7,4000,5000,0.9892309858174003,0.98312656935522
7,5000,6000,0.9871468105605173,0.9789540242854265
7,6000,7000,0.9510629487409635,0.9310934551193009
7,7000,8000,0.7541000565377398,0.743991335328041
7,8000,9000,0.9381611165169277,0.910726041407145
13,1000,2000,1.0,1.0
13,2000,3000,0.997338283557387,0.9952953181202042
13,3000,4000,1.0,1.0
13,4000,5000,1.0,1.0
13,5000,6000,0.9867036747692031,0.9774604846630013
13,6000,7000,0.6834440081254805,0.7116367076086094
13,7000,8000,0.887213130755414,0.8541520546945478
13,8000,9000,0.7103684627528899,0.7298839303979611
19,1000,2000,0.9861464766210092,0.9772367177024132
19,2000,3000,0.997354339242336,0.9952997888594788
19,3000,4000,0.9922517767689676,0.9859155641425985
19,4000,5000,0.9851137638780306,0.9770265543740492
19,5000,6000,0.9973154289148796,0.9952849004521902
19,6000,7000,0.4256365723202556,0.44023100325622
19,7000,8000,0.38715850376514727,0.4265282622355821
19,8000,9000,0.44531097452347784,0.48885003047824566
23,1000,2000,0.994575677580064,0.9905280491278504
23,2000,3000,1.0,1.0
23,3000,4000,0.961171294000983,0.9393700351167569
23,4000,5000,0.9839417507493105,0.9757088806519805
23,5000,6000,0.9813658293611447,0.9690378975065987
23,6000,7000,0.4544342186819069,0.4881781438820353
23,7000,8000,0.539415716256531,0.5910920611414755
23,8000,9000,0.5169659640945837,0.5649275736246654
31,1000,2000,0.9896602821677111,0.981197026278785
31,2000,3000,0.9817417307090428,0.9691656410474382
31,3000,4000,0.8986134188300879,0.8704372206903424
31,4000,5000,0.9675084271672361,0.952104639934046
31,5000,6000,0.9487960957118713,0.9332257282363267
31,6000,7000,0.6484636906817782,0.6134994933721071
31,7000,8000,0.9065705280918536,0.8714316808804554
31,8000,9000,0.4791808477542526,0.5436048852741563
37,1000,2000,0.9703980088618537,0.9599233225795041
37,2000,3000,0.9843199163652866,0.9758348961919439
37,3000,4000,0.32703851069218304,0.3724598105814173
37,4000,5000,0.4449730502141492,0.45864020033494396
37,5000,6000,0.46218932696859216,0.4975867113130311
37,6000,7000,0.9627785657653783,0.9439369197225876
37,7000,8000,0.9551854154184678,0.9317340912504279
37,8000,9000,0.7614590296520013,0.7554375563600334
41,1000,2000,0.9976113358080696,0.9953513421602739
41,2000,3000,1.0,1.0
41,3000,4000,0.9597731028561173,0.939971678948977
41,4000,5000,0.9123426961359236,0.894809558345433
41,5000,6000,0.962820652737688,0.9442499149775783
41,6000,7000,0.60291558591097,0.6694014289033463
41,7000,8000,0.8675308055137094,0.8486435447838
41,8000,9000,0.7562422497708642,0.7519933019227771
43,1000,2000,0.9884288578673563,0.9828542606939182
43,2000,3000,0.9921427896035967,0.9859213255804395
43,3000,4000,0.9449361447182631,0.9269106993437021
43,4000,5000,0.966276837572294,0.9501152095293984
43,5000,6000,0.9863847903511368,0.977372556011366
43,6000,7000,0.9687097258435574,0.949780909360616
43,7000,8000,0.9475480742366817,0.9204345234168881
43,8000,9000,0.6110470602947184,0.6526298358320712
47,1000,2000,1.0,1.0
47,2000,3000,1.0,1.0
47,3000,4000,0.9222877899358164,0.8942196565105829
47,4000,5000,0.9579683244865779,0.9363335561300684
47,5000,6000,0.9420392832084191,0.9180214577846392
47,6000,7000,0.4608943457570986,0.46676628340247844
47,7000,8000,0.6026367818807232,0.5937550719073328
47,8000,9000,0.9176692738828286,0.8794872778666181
53,1000,2000,0.9920497991848372,0.988230439532883
53,2000,3000,0.9816427698406691,0.974858910953532
53,3000,4000,0.8718764830468692,0.8551286813044967
53,4000,5000,0.8722965190331958,0.8440332790038875
53,5000,6000,0.47663158024996527,0.5191667033735429
53,6000,7000,0.8245143564423971,0.8166386308862972
53,7000,8000,0.9772796760223147,0.9645563108802434
53,8000,9000,0.9044865774707777,0.889624865631697
