seed,rank,count,percent
7,8,3285,36.5
7,10,1535,17.055555555555557
7,12,787,8.744444444444444
7,14,2086,23.177777777777777
7,15,1307,14.522222222222222
13,8,3330,37.0
13,11,1362,15.133333333333333
13,12,160,1.7777777777777777
13,13,1223,13.588888888888889
13,15,1378,15.311111111111112
13,16,219,2.433333333333333
13,18,1328,14.755555555555556
19,8,3321,36.9
19,11,1500,16.666666666666668
19,13,1257,13.966666666666667
19,15,1373,15.255555555555556
19,16,212,2.3555555555555556
19,18,1337,14.855555555555556
23,8,3203,35.58888888888889
23,11,1553,17.255555555555556
23,13,1471,16.344444444444445
23,15,1439,15.988888888888889
23,17,1334,14.822222222222223
31,8,3242,36.022222222222226
31,11,1510,16.77777777777778
31,12,1028,11.422222222222222
31,15,1405,15.61111111111111
31,16,1070,11.88888888888889
31,18,745,8.277777777777779
37,8,3222,35.8
37,10,660,7.333333333333333
37,11,796,8.844444444444445
37,12,771,8.566666666666666
37,13,692,7.688888888888889
37,14,1529,16.988888888888887
37,16,1330,14.777777777777779
41,8,3336,37.06666666666667
41,11,1427,15.855555555555556
41,13,1306,14.511111111111111
41,15,211,2.3444444444444446
41,16,1372,15.244444444444444
41,17,805,8.944444444444445
41,18,543,6.033333333333333
43,8,3230,35.888888888888886
43,11,1488,16.533333333333335
43,12,681,7.566666666666666
43,13,739,8.21111111111111
43,14,1475,16.38888888888889
43,16,1387,15.411111111111111
47,8,3274,36.37777777777778
47,11,1454,16.155555555555555
47,12,637,7.0777777777777775
47,13,743,8.255555555555556
47,14,1453,16.144444444444446
47,16,1439,15.988888888888889
53,8,3154,35.044444444444444
53,10,901,10.011111111111111
53,12,684,7.6
53,13,1238,13.755555555555556
53,14,1474,16.377777777777776
53,15,216,2.4
53,17,1333,14.811111111111112
