seed,rank_mean,rank_min,rank_max,final_rank,rank_change_count,percent_rank32,false_update_count,false_update_rate_per_1000
7,11.09811111111111,8,15,12,5,0.0,3,0.3333333333333333
13,11.946555555555555,8,18,13,6,0.0,2,0.2222222222222222
19,11.940222222222221,8,18,13,5,0.0,2,0.2222222222222222
23,11.78811111111111,8,17,13,6,0.0,2,0.2222222222222222
31,11.831888888888889,8,18,12,6,0.0,3,0.3333333333333333
37,11.340666666666667,8,16,12,7,0.0,4,0.4444444444444444
41,11.993222222222222,8,18,13,6,0.0,3,0.3333333333333333
43,11.425444444444445,8,16,12,6,0.0,3,0.3333333333333333
47,11.428333333333333,8,16,12,6,0.0,3,0.3333333333333333
53,11.675666666666666,8,17,13,6,0.0,3,0.3333333333333333
