comparison,metric,proposed_mean,proposed_sd,other_mean,other_sd,mean_paired_difference,diff_95ci_low,diff_95ci_high,proposed_wins,ties,losses,wilcoxon_W,p_raw,cohen_dz,rank_biserial,p_holm_10tests
proposed-vs-fixed_rank,ARI,0.8522541218358676,0.06418332620309214,0.8180352945127582,0.05814201775627682,0.034218827323109414,0.01112665073808947,0.05731100390812936,8,0,2,3.0,0.009765625,1.06004188689963,0.6,0.087890625
proposed-vs-fixed_rank,NMI,0.8489760465985032,0.05878070606681596,0.8140557707422434,0.05344295708107732,0.03492027585625973,0.01617444143140349,0.05366611028111597,10,0,0,0.0,0.001953125,1.3325872791798992,1.0,0.01953125
proposed-vs-uniform_sampling,ARI,0.8522541218358676,0.06418332620309214,0.8554854295568475,0.06043372978532593,-0.003231307720979937,-0.008885919306240306,0.002423303864280433,4,0,6,15.0,0.232421875,-0.4087881649633926,-0.2,0.640625
proposed-vs-uniform_sampling,NMI,0.8489760465985032,0.05878070606681596,0.8512342238702125,0.054837954343609684,-0.0022581772717092828,-0.00696131334069829,0.0024449587972797246,3,0,7,16.0,0.275390625,-0.3434735211840211,-0.4,0.640625
proposed-vs-keep_all,ARI,0.8522541218358676,0.06418332620309214,0.854603154840623,0.06563912047151481,-0.0023490330047554074,-0.0047146429414962315,1.6576931985416276e-05,2,0,8,11.0,0.10546875,-0.7103440665369957,-0.6,0.52734375
proposed-vs-keep_all,NMI,0.8489760465985032,0.05878070606681596,0.8516205079021697,0.05908831020879925,-0.002644461303666479,-0.00441855493452601,-0.0008703676728069475,2,0,8,4.0,0.013671875,-1.0663099304592372,-0.6,0.109375
proposed-vs-dense_projection,ARI,0.8522541218358676,0.06418332620309214,0.7905457036393608,0.11435826283017725,0.0617084181965068,-0.020745338779293826,0.14416217517230742,6,0,4,13.0,0.16015625,0.5353733381288213,0.2,0.640625
proposed-vs-dense_projection,NMI,0.8489760465985032,0.05878070606681596,0.7906523884063164,0.10471705687188046,0.05832365819218678,-0.020188483660941933,0.13683580004531548,6,0,4,14.0,0.193359375,0.5314112019425274,0.2,0.640625
proposed-vs-leverage_weighting,ARI,0.8522541218358676,0.06418332620309214,0.836362250349603,0.050633159618214706,0.015891871486264565,-0.0011905995990772154,0.03297434257160635,7,0,3,9.0,0.064453125,0.6654985663199905,0.4,0.451171875
proposed-vs-leverage_weighting,NMI,0.8489760465985032,0.05878070606681596,0.8355933183729369,0.04738652634358064,0.013382728225566232,-0.0010770787491118702,0.027842535200244337,7,0,3,9.0,0.064453125,0.6620715666296412,0.4,0.451171875
